,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g2_1,g3_1,g3_2,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6
191,180.0,51.0,18.0,105.0,299.0,49.0,104.0,56.0,71.0,71.0,3930.0,9780.0,5070.0,7504.0,318.0,24.0,6154.0,5520.0,15384.0
192,282.0,27.0,20.0,136.0,195.0,61.0,57.0,42.0,91.0,44.0,3846.0,10638.0,5212.0,8050.0,438.0,72.0,6946.0,6620.0,20208.0
193,236.0,13.0,25.0,128.0,237.0,57.0,0.0,43.0,81.0,5.0,2686.0,5418.0,3024.0,3934.0,294.0,64.0,2920.0,2664.0,6768.0
194,237.0,89.0,6.0,115.0,462.0,54.0,245.0,29.0,60.0,132.0,7812.0,25812.0,13360.0,26378.0,768.0,40.0,20604.0,19412.0,53616.0
195,131.0,5.0,27.0,75.0,86.0,27.0,1.0,42.0,52.0,9.0,992.0,1218.0,1022.0,984.0,348.0,136.0,658.0,424.0,1080.0
196,86.0,5.0,26.0,78.0,95.0,22.0,17.0,28.0,37.0,18.0,1002.0,1590.0,1110.0,1504.0,600.0,104.0,890.0,676.0,1704.0
197,21.0,63.0,30.0,24.0,90.0,28.0,232.0,61.0,7.0,83.0,1840.0,3816.0,2096.0,2578.0,540.0,152.0,2236.0,1812.0,6312.0
198,353.0,26.0,5.0,178.0,299.0,65.0,56.0,62.0,104.0,51.0,5476.0,15594.0,8152.0,13310.0,762.0,40.0,11110.0,10264.0,28896.0
199,329.0,9.0,21.0,86.0,236.0,42.0,10.0,46.0,72.0,15.0,3000.0,6726.0,3580.0,4860.0,468.0,24.0,3816.0,3540.0,9624.0
200,165.0,41.0,28.0,84.0,229.0,42.0,73.0,45.0,57.0,62.0,2688.0,6120.0,2722.0,3230.0,372.0,32.0,2808.0,2860.0,9816.0
201,32.0,49.0,28.0,46.0,255.0,52.0,83.0,45.0,29.0,70.0,2038.0,3930.0,2376.0,3016.0,378.0,32.0,2272.0,2096.0,5016.0
202,137.0,0.0,3.0,44.0,40.0,13.0,0.0,8.0,34.0,0.0,772.0,990.0,1062.0,1490.0,834.0,128.0,736.0,424.0,696.0
203,16.0,47.0,22.0,50.0,255.0,38.0,32.0,41.0,36.0,42.0,1470.0,2286.0,1460.0,1594.0,390.0,48.0,1128.0,808.0,2328.0
204,4.0,21.0,1.0,41.0,225.0,13.0,5.0,14.0,17.0,21.0,1040.0,1500.0,1410.0,2030.0,756.0,128.0,1194.0,648.0,1440.0
205,32.0,66.0,34.0,29.0,243.0,48.0,144.0,64.0,22.0,97.0,2290.0,4632.0,2468.0,3264.0,348.0,32.0,2504.0,2224.0,6432.0
206,98.0,7.0,25.0,90.0,148.0,31.0,1.0,37.0,48.0,9.0,1194.0,1614.0,1294.0,1548.0,708.0,160.0,884.0,580.0,1464.0
207,128.0,59.0,17.0,100.0,440.0,50.0,91.0,59.0,50.0,93.0,4584.0,12282.0,6354.0,10406.0,516.0,64.0,8240.0,7584.0,21360.0
208,91.0,86.0,7.0,77.0,369.0,60.0,189.0,60.0,51.0,131.0,4868.0,13758.0,7080.0,11938.0,708.0,64.0,9654.0,9052.0,25776.0
209,91.0,14.0,28.0,55.0,182.0,38.0,14.0,46.0,40.0,24.0,1276.0,1782.0,1282.0,1396.0,366.0,64.0,892.0,612.0,1872.0
210,297.0,16.0,12.0,177.0,304.0,70.0,25.0,55.0,103.0,40.0,4750.0,13116.0,6546.0,10108.0,714.0,48.0,8630.0,8020.0,24072.0
211,117.0,3.0,24.0,82.0,154.0,48.0,4.0,42.0,56.0,14.0,1274.0,1830.0,1200.0,1252.0,222.0,24.0,834.0,740.0,1536.0
212,242.0,0.0,30.0,75.0,5.0,26.0,0.0,35.0,55.0,0.0,1224.0,2244.0,1474.0,1746.0,654.0,224.0,1402.0,1232.0,3288.0
213,75.0,24.0,9.0,36.0,94.0,16.0,51.0,21.0,20.0,41.0,1066.0,1680.0,1400.0,2024.0,924.0,104.0,1108.0,788.0,2256.0
214,23.0,32.0,41.0,43.0,187.0,26.0,41.0,27.0,34.0,34.0,1190.0,1740.0,1296.0,1454.0,612.0,160.0,890.0,748.0,1776.0
215,3.0,50.0,25.0,19.0,161.0,35.0,115.0,39.0,7.0,79.0,1416.0,2448.0,1494.0,1574.0,522.0,104.0,1224.0,1028.0,3072.0
216,112.0,93.0,7.0,88.0,369.0,58.0,323.0,42.0,48.0,141.0,6358.0,19518.0,10124.0,18448.0,870.0,88.0,14444.0,13956.0,39624.0
217,0.0,20.0,15.0,0.0,16.0,12.0,85.0,23.0,0.0,29.0,362.0,360.0,362.0,384.0,192.0,8.0,206.0,116.0,168.0
218,20.0,14.0,23.0,49.0,186.0,34.0,32.0,24.0,18.0,36.0,1040.0,1350.0,1154.0,1254.0,702.0,120.0,726.0,484.0,1056.0
219,151.0,15.0,25.0,86.0,196.0,57.0,6.0,48.0,63.0,24.0,1820.0,2970.0,1868.0,2088.0,330.0,24.0,1480.0,1256.0,3024.0
220,174.0,17.0,26.0,96.0,129.0,48.0,33.0,57.0,80.0,18.0,1836.0,3018.0,1890.0,2120.0,558.0,96.0,1558.0,1220.0,2904.0
221,314.0,27.0,16.0,143.0,285.0,55.0,85.0,51.0,95.0,53.0,4948.0,13962.0,7272.0,12660.0,462.0,56.0,10108.0,9216.0,26496.0
222,143.0,3.0,39.0,60.0,71.0,17.0,0.0,38.0,52.0,5.0,966.0,1302.0,1016.0,1122.0,318.0,48.0,674.0,488.0,888.0
223,166.0,14.0,34.0,88.0,189.0,40.0,9.0,61.0,58.0,18.0,1876.0,3414.0,1948.0,2108.0,462.0,64.0,1640.0,1492.0,3768.0
224,247.0,1.0,28.0,102.0,117.0,32.0,2.0,64.0,69.0,4.0,1810.0,3192.0,1846.0,1988.0,456.0,40.0,1510.0,1440.0,4008.0
225,32.0,0.0,23.0,30.0,57.0,17.0,3.0,18.0,18.0,5.0,404.0,450.0,510.0,560.0,354.0,40.0,354.0,180.0,384.0
226,100.0,1.0,22.0,46.0,48.0,15.0,0.0,14.0,37.0,1.0,668.0,960.0,806.0,1008.0,432.0,64.0,664.0,436.0,1104.0
227,84.0,92.0,17.0,62.0,327.0,57.0,177.0,68.0,26.0,120.0,4070.0,10404.0,5274.0,7720.0,474.0,48.0,6426.0,5776.0,18000.0
228,26.0,102.0,20.0,39.0,227.0,48.0,263.0,67.0,22.0,130.0,3422.0,7824.0,4286.0,6002.0,546.0,56.0,4688.0,4404.0,11160.0
229,182.0,42.0,13.0,96.0,356.0,51.0,127.0,52.0,85.0,58.0,4504.0,12576.0,6302.0,10078.0,528.0,64.0,8614.0,8104.0,23184.0
230,58.0,17.0,33.0,37.0,124.0,19.0,22.0,34.0,25.0,21.0,942.0,1554.0,1346.0,1980.0,894.0,176.0,1314.0,852.0,2280.0
231,9.0,56.0,29.0,27.0,250.0,27.0,94.0,41.0,16.0,63.0,1616.0,2814.0,1512.0,1614.0,324.0,72.0,1160.0,1008.0,3696.0
232,66.0,93.0,14.0,63.0,324.0,57.0,184.0,62.0,41.0,95.0,3888.0,9600.0,5126.0,7598.0,786.0,96.0,6106.0,5484.0,14904.0
233,80.0,20.0,25.0,47.0,107.0,31.0,41.0,31.0,33.0,15.0,1046.0,1518.0,1334.0,1952.0,882.0,128.0,1044.0,800.0,1176.0
234,44.0,50.0,28.0,76.0,358.0,31.0,54.0,48.0,30.0,63.0,2490.0,5124.0,2782.0,3500.0,414.0,40.0,2784.0,2512.0,6984.0
235,192.0,15.0,9.0,115.0,216.0,36.0,0.0,23.0,74.0,20.0,2216.0,4266.0,2304.0,2738.0,276.0,56.0,2142.0,1836.0,5400.0
236,98.0,6.0,17.0,75.0,148.0,30.0,1.0,34.0,50.0,10.0,1004.0,1098.0,1010.0,1036.0,504.0,64.0,528.0,368.0,744.0
237,11.0,53.0,15.0,9.0,49.0,24.0,244.0,27.0,2.0,86.0,1306.0,1596.0,1408.0,1584.0,600.0,168.0,878.0,564.0,936.0
238,186.0,44.0,16.0,115.0,297.0,57.0,58.0,67.0,69.0,52.0,3670.0,9024.0,4828.0,7326.0,588.0,8.0,5816.0,5240.0,14592.0
239,49.0,93.0,14.0,75.0,400.0,63.0,185.0,49.0,33.0,136.0,4698.0,12228.0,6622.0,10502.0,870.0,80.0,8208.0,7488.0,19416.0
